time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_redis-cart,custom_monitored_count_redis-cart,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,elapsed,elapsed_min
1619153459.908046,290.0,1300.0,476,1400,11,0.0,0.0,17.0,50,474.21619115224064,17.0,1424.0,290.0,11.0,0,172,5.293376872382765,2,2,2,0.0,0.0
1619153461.9039726,19.0,57.0,24,150,11,0.0,0.0,16.0,50,422.75941937432157,16.0,1424.0,220.0,11.0,0,194,5.293376872382765,2,2,2,1.9959266185760498,0.03326544364293416
1619153463.9436827,17.0,55.0,23,150,11,0.0,0.0,18.2,50,400.91735538912985,18.2,1424.0,150.0,11.0,0,205,5.293376872382765,2,2,2,4.03563666343689,0.0672606110572815
1619153465.9051015,15.0,38.0,17,57,10,0.0,0.0,9.3,50,364.8994837607364,9.3,1424.0,53.0,10.0,0,226,5.293376872382765,2,2,2,5.997055530548096,0.09995092550913492
1619153467.9133217,14.0,35.0,17,57,10,0.0,0.0,9.8,50,337.7751163187988,9.8,1424.0,30.0,10.0,0,245,5.293376872382765,2,2,2,8.00527572631836,0.133421262105306
1619153469.908429,14.0,35.0,17,57,10,0.0,0.0,9.8,50,337.7751163187988,9.8,1424.0,30.0,10.0,0,245,3.3317775585750358,2,2,2,10.000382900238037,0.16667304833730062
1619153471.9109132,14.0,28.0,37,740,10,0.0,0.0,9.3,50,295.9982504017625,9.3,1424.0,22.0,10.0,0,289,3.3317775585750358,2,2,2,12.002867221832275,0.2000477870305379
1619153473.9287207,14.0,39.0,36,740,10,0.0,0.0,9.9,50,276.48995242641575,9.9,1424.0,22.0,10.0,0,311,3.3317775585750358,2,2,2,14.020674705505371,0.23367791175842284
1619153475.915119,14.0,39.0,36,740,10,0.0,0.0,9.9,50,276.48995242641575,9.9,1424.0,22.0,10.0,0,311,3.9439785203633853,2,2,2,16.007072925567627,0.26678454875946045
1619153477.913941,15.0,44.0,36,740,10,0.0,0.0,10.8,50,243.19159705974474,10.8,1424.0,19.0,10.0,0,357,3.9439785203633853,2,2,2,18.005894899368286,0.3000982483228048
1619153479.9158134,15.0,44.0,36,740,10,0.0,0.0,10.8,50,243.19159705974474,10.8,1424.0,19.0,10.0,0,357,3.9439785203633853,2,2,2,20.00776743888855,0.3334627906481425
1619153481.9266655,15.0,32.0,18,54,10,0.0,0.0,10.9,50,220.97512299543,10.9,1424.0,18.0,10.0,0,396,3.9439785203633853,2,2,2,22.018619537353516,0.36697699228922526
1619153483.9237022,16.0,48.0,20,68,10,0.0,0.0,9.9,50,211.01886158559526,9.9,1424.0,19.0,10.0,0,418,3.9439785203633853,2,2,2,24.015656232833862,0.4002609372138977
1619153485.922187,16.0,48.0,20,68,10,0.0,0.0,9.9,50,211.01886158559526,9.9,1424.0,19.0,10.0,0,418,3.2021141722440185,2,2,2,26.014141082763672,0.4335690180460612
1619153487.9220145,18.0,51.0,22,68,12,0.0,0.0,10.6,50,193.31574352526806,10.6,1424.0,19.0,10.0,0,461,3.2021141722440185,2,2,2,28.013968467712402,0.46689947446187335
1619153489.92928,18.0,51.0,21,68,12,0.0,0.0,11.2,50,187.00156528619604,11.2,1424.0,18.0,10.0,0,478,3.7102757441233947,2,2,2,30.021234035491943,0.5003539005915324
1619153491.926935,18.0,51.0,22,68,11,0.0,0.0,10.6,50,179.60994153097272,10.6,1424.0,18.0,10.0,0,500,3.7102757441233947,2,2,2,32.0188889503479,0.5336481491724651
1619153493.9291923,16.0,34.0,18,44,11,0.0,0.0,10.9,50,171.55792929246286,10.9,1424.0,18.0,10.0,0,526,3.7102757441233947,2,2,2,34.021146297454834,0.5670191049575806
1619153495.9296901,16.0,34.0,18,44,11,0.0,0.0,10.9,50,171.55792929246286,10.9,1424.0,18.0,10.0,0,526,3.7102757441233947,2,2,2,36.021644115448,0.6003607352574666
1619153497.93386,15.0,110.0,31,520,11,0.0,0.0,11.0,50,164.7494161085758,11.0,1424.0,18.0,10.0,0,560,3.7102757441233947,2,2,2,38.025814056396484,0.6337635676066081
1619153499.9349377,15.0,110.0,31,520,11,0.0,0.0,11.0,50,164.7494161085758,11.0,1424.0,18.0,10.0,0,560,4.053947271689472,2,2,2,40.02689170837402,0.6671148618062337
1619153501.9369178,15.0,48.0,31,520,11,0.0,0.0,9.8,50,154.2334955843601,9.8,1424.0,17.0,10.0,0,603,4.053947271689472,2,2,2,42.02887177467346,0.7004811962445577
1619153503.9378226,15.0,110.0,32,520,11,0.0,0.0,10.0,50,150.53360191203893,10.0,1424.0,17.0,10.0,0,620,4.053947271689472,2,2,2,44.02977657318115,0.7338296095530192
1619153505.9354298,15.0,110.0,32,520,11,0.0,0.0,10.0,50,150.53360191203893,10.0,1424.0,17.0,10.0,0,620,4.019831065914269,2,2,2,46.02738380432129,0.7671230634053549
1619153507.9414241,18.0,51.0,23,76,11,0.0,0.0,9.2,50,141.65587397640283,9.2,1424.0,18.0,10.0,0,669,4.019831065914269,2,2,2,48.03337812423706,0.8005563020706177
1619153509.944282,19.0,55.0,25,120,11,0.0,0.0,10.4,50,138.7421927920487,10.4,1424.0,18.0,10.0,0,687,4.019831065914269,2,2,2,50.03623604774475,0.8339372674624125
